meaning,abbr
номере,№
номера,№
номеру,№
номерами,№
номеров,№
номерам,№
номером,№
номер,№
номерах,№
градуса,°
градусе,°
градусов,°
градусу,°
градусы,°
градус,°
градусах,°
градусам,°
градусом,°
градусами,°
параграфах,§
параграф,§
параграфом,§
параграфы,§
параграфа,§
параграфе,§
параграфам,§
параграфами,§
параграфов,§
параграфу,§
процентами,%
проценты,%
проценту,%
процентом,%
процентах,%
проценте,%
процент,%
процента,%
процентов,%
процентам,%
гривнами,₴
гривнам,₴
гривны,₴
гривен,₴
гривнах,₴
гривне,₴
гривну,₴
гривной,₴
гривна,₴
долларами,$
доллары,$
доллара,$
долларов,$
доллар,$
доллару,$
долларом,$
долларам,$
долларах,$
долларе,$
евро,€
юаню,¥
юаням,¥
юанями,¥
юане,¥
юани,¥
юаня,¥
юань,¥
юанях,¥
юаней,¥
юанем,¥
рублями,₽
рублём,₽
рубль,₽
рублям,₽
рубле,₽
рублях,₽
рубля,₽
рублей,₽
рубли,₽
рублю,₽
йенах,¥
йенам,¥
йену,¥
йеной,¥
йене,¥
йена,¥
йен,¥
йены,¥
йенами,¥