"Сенат, как и легислатура штата, был создан § VI Конституции Юты со вступлением территории Юта в США в качестве штата в 1896 году.","Сенат, как и легислатура штата, был создан параграфом VI Конституции Юты со вступлением территории Юта в США в качестве штата в 1896 году."
"«Российская грамматика» состоит из шести «наставлений» и 591 §.","«Российская грамматика» состоит из шести «наставлений» и 591 параграфа."
"В этом документе есть несколько важных § для изучения.","В этом документе есть несколько важных параграфов для изучения."
"В тексте указано, что необходимо обратить внимание на § 12.","В тексте указано, что необходимо обратить внимание на параграф 12."
"Согласно § 3, эти правила обязательны для исполнения.","Согласно параграфу 3, эти правила обязательны для исполнения."
"Для выполнения задания необходимо изучить § 4-5.","Для выполнения задания необходимо изучить параграфы 4-5."
"Пожалуйста, ознакомьтесь с § данного документа.","Пожалуйста, ознакомьтесь с параграфом данного документа."
"Эти вопросы обсуждаются в § 10.","Эти вопросы обсуждаются в параграфе 10."
"Законодательный акт состоит из нескольких §, каждый из которых регулирует определенную область.","Законодательный акт состоит из нескольких параграфов, каждый из которых регулирует определенную область."
"В § указаны правила оформления документов.","В параграфе указаны правила оформления документов."
"На странице 15 приведен §, описывающий эту процедуру.","На странице 15 приведен параграф, описывающий эту процедуру."
"Нужно следовать требованиям, изложенным в § 6 данного руководства.","Нужно следовать требованиям, изложенным в параграфе 6 данного руководства."
"Все изменения зафиксированы в соответствующем §.","Все изменения зафиксированы в соответствующем параграфе."
"В документе содержится особое примечание в § 8.","В документе содержится особое примечание в параграфе 8."
"Для успешного выполнения задачи изучите § и следуйте указанным рекомендациям.","Для успешного выполнения задачи изучите параграф и следуйте указанным рекомендациям."
"В каждом § данного текста можно найти важные указания.","В каждом параграфе данного текста можно найти важные указания."
"Ссылки на § указаны в таблице содержания.","Ссылки на параграфы указаны в таблице содержания."